CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_Germany,Geography_Spain,CLV,Segment
619,0,42,2,0.0,1,1,1,101348.88,1,False,False,44222.525036134786,Low Value
608,0,41,1,83807.86,1,0,1,112542.58,0,False,True,80964.7323859458,Low Value
502,0,42,8,159660.8,3,1,0,113931.57,1,False,False,120698.54925720832,Medium Value
699,0,39,1,0.0,2,0,0,93826.63,0,False,False,74597.4234768963,Low Value
850,0,43,2,125510.82,1,1,1,79084.1,0,False,True,102096.55310331998,Medium Value
645,1,44,8,113755.78,2,1,0,149756.71,1,False,True,90272.24331660983,Low Value
822,1,50,7,0.0,2,1,1,10062.8,0,False,False,119057.0657860887,Medium Value
376,0,29,4,115046.74,4,1,0,119346.88,1,True,False,102028.1791498349,Medium Value
501,1,44,4,142051.07,2,0,1,74940.5,0,False,False,113970.22696878057,Medium Value
684,1,27,2,134603.88,1,1,1,71725.73,0,False,False,108356.83612303158,Medium Value
528,1,31,6,102016.72,2,0,0,80181.12,0,False,False,94306.91408625046,Low Value
497,1,24,3,0.0,2,1,0,76390.01,0,False,True,51970.84335715692,Low Value
476,0,34,10,0.0,2,1,0,26260.98,0,False,False,87185.98645879241,Low Value
549,0,25,5,0.0,2,0,0,190857.79,0,False,False,49242.94866410643,Low Value
635,0,35,7,0.0,2,1,1,65951.65,0,False,True,75659.05200984361,Low Value
616,1,45,3,143129.41,2,0,1,64327.26,0,True,False,112213.87484910834,Medium Value
653,1,58,1,132602.88,1,1,0,5097.67,1,True,False,38274.73975598691,Low Value
549,0,24,9,0.0,2,1,1,14406.41,0,False,True,103715.22439114329,Medium Value
587,1,45,6,0.0,1,0,0,158684.81,0,False,True,52435.10349374547,Low Value
726,0,24,6,0.0,2,1,1,54724.03,0,False,False,77673.31678397651,Low Value
732,1,41,8,0.0,2,1,1,170886.17,0,False,False,125447.23202705865,Medium Value
636,0,32,8,0.0,2,1,0,138555.46,0,False,True,82784.90279416156,Low Value
510,0,38,4,0.0,1,1,0,118913.53,1,False,True,26686.879656255085,Low Value
669,1,46,3,0.0,2,0,1,8487.75,0,False,False,61250.531765438514,Low Value
846,0,38,5,0.0,1,1,1,187616.16,0,False,False,80044.0537056978,Low Value
577,1,25,3,0.0,2,0,1,124508.29,0,False,False,81375.4026765184,Low Value
756,1,36,2,136815.64,1,1,1,170041.95,0,True,False,94890.13427093238,Low Value
571,1,44,9,0.0,2,0,0,38433.35,0,False,False,88117.71022014806,Low Value
574,0,43,3,141349.43,1,1,1,100187.43,0,True,False,98345.67332097434,Low Value
411,1,29,0,59697.17,2,1,1,53483.21,0,False,False,72506.21100248068,Low Value
591,0,39,3,0.0,3,1,0,140469.38,1,False,True,43910.29585324724,Low Value
533,1,36,7,85311.7,1,0,1,156731.91,0,False,False,129839.89061410725,Medium Value
553,1,41,9,110112.54,2,0,0,81898.81,0,True,False,115441.4969031448,Medium Value
520,0,42,6,0.0,2,1,1,34410.55,0,False,True,74523.8908525292,Low Value
722,0,29,9,0.0,2,1,1,142033.07,0,False,True,120455.86174523826,Medium Value
475,0,45,0,134264.04,1,1,0,27822.99,1,False,False,27256.72700034773,Low Value
490,1,31,3,145260.23,1,0,1,114066.77,0,False,True,107021.89834005707,Medium Value
804,1,33,7,76548.6,1,0,1,98453.45,0,False,True,87983.7045134427,Low Value
850,1,36,7,0.0,1,1,1,40812.9,0,False,False,73294.28341321883,Low Value
582,1,41,6,70349.48,2,0,1,178074.04,0,True,False,117007.15083042947,Medium Value
472,1,40,4,0.0,1,1,0,70154.22,0,False,True,56571.76775994492,Low Value
465,0,51,8,122522.32,1,0,0,181297.65,1,False,False,80094.57497427966,Low Value
556,0,61,2,117419.35,1,1,1,94153.83,0,False,False,92447.79181134111,Low Value
834,0,49,2,131394.56,1,0,0,194365.76,1,False,False,64039.862852928534,Low Value
660,0,61,5,155931.11,1,1,1,158338.39,0,False,True,105371.98251559088,Medium Value
776,0,32,4,109421.13,2,1,1,126517.46,0,True,False,112692.4842992635,Medium Value
829,0,27,9,112045.67,1,1,1,119708.21,1,True,False,100961.45074848256,Medium Value
637,0,39,9,137843.8,1,1,1,117622.8,1,True,False,120170.642714627,Medium Value
550,1,38,2,103391.38,1,0,1,90878.13,0,True,False,93708.13107482153,Low Value
776,0,37,2,103769.22,2,1,0,194099.12,0,True,False,74894.8645356472,Low Value
698,1,44,10,116363.37,2,1,0,198059.16,0,True,False,134729.11763273753,Medium Value
585,1,36,5,146050.97,2,0,0,86424.57,0,True,False,105450.2670350042,Medium Value
788,0,33,5,0.0,2,0,0,116978.19,0,False,False,68772.0635963285,Low Value
655,1,41,8,125561.97,1,0,0,164040.94,1,True,False,91619.10466609041,Low Value
601,1,42,1,98495.72,1,1,0,40014.76,1,True,False,52983.38626995142,Low Value
619,1,43,1,125211.92,1,1,1,113410.49,0,False,False,105779.11862939438,Medium Value
656,1,45,5,127864.4,1,1,0,87107.57,0,False,False,84207.72452132835,Low Value
725,1,19,0,75888.2,1,0,0,45613.75,0,True,False,55562.69748978542,Low Value
511,0,66,4,0.0,1,1,0,1643.11,1,False,True,25192.885576842767,Low Value
614,1,51,4,40685.92,1,1,1,46775.28,0,False,False,92417.6103254683,Low Value
742,1,35,5,136857.0,1,0,0,84509.57,0,True,False,93694.25194585654,Low Value
687,0,27,9,152328.88,2,0,0,126494.82,0,True,False,131267.9714800342,Medium Value
555,1,33,1,56084.69,2,0,0,178798.13,0,False,True,57539.61871192766,Low Value
684,1,56,8,78707.16,1,1,1,99398.36,0,False,True,98147.45971103194,Low Value
603,1,26,4,109166.37,1,1,1,92840.67,0,True,False,111126.52026873037,Medium Value
751,0,36,6,169831.46,2,1,1,27758.36,0,True,False,158170.02354284987,High Value
581,0,34,1,101633.04,1,1,0,110431.51,0,True,False,67802.390141036,Low Value
735,1,43,10,123180.01,2,1,1,196673.28,0,True,False,163919.7287747043,High Value
661,0,35,5,150725.53,2,0,1,113656.85,0,True,False,137241.0547005716,Medium Value
675,0,21,8,98373.26,1,1,0,18203.0,0,False,False,88731.1957447385,Low Value
738,1,58,2,133745.44,4,1,0,28373.86,1,True,False,101936.42486610098,Medium Value
813,1,29,6,0.0,1,1,0,33953.87,0,False,False,84030.59359759164,Low Value
657,0,37,0,163607.18,1,0,1,44203.55,0,False,True,99172.23993068059,Low Value
604,0,25,5,157780.84,2,1,1,58426.81,0,True,False,149619.43146976808,Medium Value
519,1,36,9,0.0,2,0,1,145562.4,0,False,False,72793.55475092307,Low Value
735,0,21,1,178718.19,2,1,0,22388.0,0,False,False,114519.4432525027,Medium Value
664,1,55,8,0.0,2,1,1,139161.64,0,False,False,105459.03041885805,Medium Value
678,0,32,9,0.0,1,1,1,148210.64,0,False,False,92836.3373944096,Low Value
757,1,33,5,77253.22,1,0,1,194239.63,0,False,True,106725.61611842603,Medium Value
416,0,41,10,122189.66,2,1,0,98301.61,0,True,False,95606.34222478929,Low Value
665,0,34,1,96645.54,2,0,0,171413.66,0,False,False,82761.23494594987,Low Value
777,0,32,2,0.0,1,1,0,136458.19,1,False,False,31007.67845814096,Low Value
543,0,36,3,0.0,2,0,0,26019.59,0,False,False,74751.51213689819,Low Value
506,0,34,4,90307.62,1,1,1,159235.29,0,False,False,89428.30258071623,Low Value
493,0,46,4,0.0,2,1,0,1907.66,0,False,False,48950.383165281746,Low Value
652,0,75,10,0.0,2,1,1,114675.75,0,False,True,105429.94547698557,Medium Value
750,1,22,3,121681.82,1,1,0,128643.35,1,False,True,74801.4690124249,Low Value
729,1,30,9,0.0,2,1,0,151869.35,0,False,False,97147.78731591621,Low Value
646,0,46,4,0.0,3,1,0,93251.42,1,False,False,48844.93435479554,Low Value
635,0,28,3,81623.67,2,1,1,156791.36,0,True,False,112205.49119736027,Medium Value
647,0,44,5,0.0,3,1,1,174205.22,1,False,True,81837.13939217648,Low Value
808,1,45,7,118626.55,2,1,0,147132.46,0,False,False,131980.47228639468,Medium Value
524,0,36,10,0.0,2,1,0,109614.57,0,False,False,80727.94567347178,Low Value
769,1,29,8,0.0,2,1,1,172290.61,0,False,False,105167.67864082678,Medium Value
730,1,42,4,0.0,2,0,1,85982.47,0,False,True,82894.00096241411,Low Value
515,1,35,10,176273.95,1,0,1,121277.78,0,False,True,126125.6378224146,Medium Value
773,1,41,9,102827.44,1,0,1,64595.25,0,False,True,128464.93652477491,Medium Value
814,1,29,8,97086.4,2,1,1,197276.13,0,True,False,141855.90046615867,Medium Value
710,1,22,8,0.0,2,0,0,99645.04,0,False,True,86367.16307970954,Low Value
413,1,34,9,0.0,2,0,0,6534.18,0,False,False,74462.32159949823,Low Value
665,0,40,6,0.0,1,1,1,161848.03,0,False,False,66969.47229539503,Low Value
623,0,44,6,0.0,2,0,0,167162.43,0,False,False,72774.75332681568,Low Value
738,1,31,9,82674.15,1,1,0,41970.72,0,False,False,95131.01660167877,Low Value
528,1,36,7,0.0,2,1,0,60536.56,0,False,True,65090.135169340574,Low Value
670,0,65,1,0.0,1,1,1,177655.68,1,False,True,36810.798660007895,Low Value
622,0,46,4,107073.27,2,1,1,30984.59,1,False,True,91772.50948177445,Low Value
582,1,32,1,88938.62,1,1,1,10054.53,0,True,False,101763.22561452637,Medium Value
785,0,36,2,99806.85,1,0,1,36976.52,0,True,False,96039.91255398208,Low Value
605,1,33,5,150092.8,1,0,0,71862.79,0,False,True,101351.10028867317,Medium Value
479,1,35,9,92833.89,1,1,0,99449.86,1,True,False,70206.132610806,Low Value
685,1,30,3,90536.81,1,0,1,63082.88,0,True,False,70368.36741641151,Low Value
538,1,39,7,108055.1,2,1,0,27231.26,0,True,False,103642.5118946094,Medium Value
562,1,42,2,100238.35,1,0,0,86797.41,0,False,False,71645.39691929233,Low Value
675,1,36,9,106190.55,1,0,1,22994.32,0,False,True,150612.03214982344,High Value
721,1,28,9,154475.54,2,0,1,101300.94,1,True,False,124868.85722262657,Medium Value
628,0,30,9,132351.29,2,1,1,74169.13,0,True,False,145539.69450800336,Medium Value
668,0,37,6,167864.4,1,1,0,115638.29,0,True,False,110787.0223635371,Medium Value
506,0,41,1,0.0,2,1,0,31766.3,0,False,False,33638.515548565614,Low Value
524,0,31,8,107818.63,1,1,0,199725.39,1,True,False,90260.10577418025,Low Value
699,1,34,4,185173.81,2,1,0,120834.48,0,True,False,130873.24239224129,Medium Value
828,1,34,8,129433.34,2,0,0,38131.77,0,False,False,133354.98936451657,Medium Value
674,1,39,6,120193.42,1,0,0,100130.95,0,False,True,86514.74614246313,Low Value
656,0,39,6,0.0,2,1,0,141069.88,0,False,False,94668.32693123318,Low Value
684,0,48,10,126384.42,1,1,1,198129.36,0,True,False,121378.59924649264,Medium Value
625,0,28,3,0.0,1,0,0,183646.41,0,False,False,59988.14152560325,Low Value
432,1,42,9,152603.45,1,1,0,110265.24,1,False,False,113049.04310971976,Medium Value
549,0,52,1,0.0,1,0,1,8636.05,1,False,False,16227.006098431742,Low Value
625,1,56,0,148507.24,1,1,0,46824.08,1,True,False,44659.41764476675,Low Value
828,0,41,7,0.0,2,1,0,171378.77,0,False,False,89946.9671810517,Low Value
770,1,24,9,101827.07,1,1,0,167256.35,0,False,False,104600.12575060561,Medium Value
758,0,34,3,0.0,2,1,1,124226.16,0,False,False,67217.08522720641,Low Value
795,0,33,9,130862.43,1,1,1,114935.21,0,True,False,136301.64449767233,Medium Value
687,1,38,9,122570.87,1,1,1,35608.88,0,False,False,113780.55423528673,Medium Value
686,1,25,1,0.0,2,0,1,16459.37,0,False,False,76493.48396762219,Low Value
789,1,39,7,124828.46,2,1,1,124411.08,0,True,False,127543.32118919438,Medium Value
589,0,50,5,144895.05,2,1,1,34941.23,0,True,False,144415.47606021047,Medium Value
461,0,34,5,63663.93,1,0,1,167784.28,0,True,False,81890.23209196515,Low Value
637,1,40,2,133463.1,1,0,1,93165.34,0,False,False,97015.54340553189,Low Value
584,0,48,2,213146.2,1,1,0,75161.25,1,False,True,87537.59260843605,Low Value
579,0,35,1,129490.36,2,0,1,8590.83,1,False,True,63558.56220279253,Low Value
756,1,44,10,137452.09,1,1,0,189543.9,0,True,False,127989.86041524955,Medium Value
663,1,34,7,0.0,2,1,1,180427.24,0,False,False,117518.80265138914,Medium Value
682,0,43,5,125851.93,1,1,1,193318.33,0,False,False,97505.47478526527,Low Value
793,1,52,2,0.0,1,1,0,159123.82,1,False,True,30356.559102387648,Low Value
691,0,31,5,40915.55,1,1,0,126213.84,1,False,False,50735.50113098107,Low Value
485,0,21,5,113157.22,1,1,1,54141.5,0,False,True,110751.55606132773,Medium Value
635,0,29,8,138296.94,2,1,0,141075.51,0,False,True,109442.75506946302,Medium Value
650,1,37,5,106967.18,1,0,0,24495.03,0,False,False,69885.1322429887,Low Value
735,1,44,9,120681.63,1,1,0,74836.34,0,False,False,117367.60878740277,Medium Value
416,1,32,0,0.0,2,0,1,878.87,0,False,False,60910.97087879823,Low Value
754,0,32,7,0.0,2,1,0,89520.75,0,False,True,86114.74420415051,Low Value
535,0,48,9,0.0,1,1,0,149892.79,1,False,False,53073.090113963706,Low Value
716,1,42,8,0.0,2,1,0,180800.42,0,False,True,81583.7201410581,Low Value
539,1,37,2,127609.59,1,1,0,98646.22,0,False,False,81111.57836593206,Low Value
614,0,43,6,0.0,2,1,1,109041.53,0,False,False,96726.53087958417,Low Value
706,1,57,7,0.0,1,1,0,17941.16,1,False,True,32137.429383683586,Low Value
758,0,33,7,0.0,2,0,0,82996.47,0,False,False,105365.15293373709,Medium Value
586,0,28,2,0.0,2,1,1,92067.35,0,False,True,80520.68905094145,Low Value
646,0,73,6,97259.25,1,0,1,104719.66,0,False,False,93997.73443356821,Low Value
631,0,33,4,123246.7,1,0,0,112687.57,0,True,False,96887.22210360596,Low Value
717,0,22,6,101060.25,1,0,1,84699.56,0,False,True,99132.67235727212,Low Value
684,1,30,2,0.0,2,1,0,83473.82,0,False,False,69071.96804490942,Low Value
800,0,49,7,108007.36,1,0,0,47125.11,0,False,False,114030.21214808886,Medium Value
721,0,36,2,0.0,2,1,1,106977.8,0,False,True,69902.92417977947,Low Value
683,1,29,0,133702.89,1,1,0,55582.54,1,False,True,61076.62435093189,Low Value
660,1,31,9,125189.75,2,1,1,139874.43,0,True,False,148521.47832323797,Medium Value
704,0,24,7,113034.22,1,1,0,162503.48,1,True,False,87942.4427199339,Low Value
615,0,41,9,109013.23,1,1,0,196499.96,0,False,True,131625.21859184737,Medium Value
667,0,39,2,0.0,2,1,0,40721.24,1,False,True,29428.192207965556,Low Value
682,1,24,9,57929.81,2,0,0,53134.3,0,True,False,94924.88482771014,Low Value
484,0,29,4,130114.39,1,1,0,164017.89,0,False,False,77606.57164449373,Low Value
628,1,27,5,95826.49,2,1,0,155996.96,0,True,False,90377.57218041473,Low Value
480,1,44,10,129608.57,1,1,0,5472.7,1,True,False,80944.08708703076,Low Value
578,1,30,4,169462.09,1,1,0,112187.11,0,False,False,104326.69329779973,Medium Value
